id,created_at,response_date,nps_score,comment,customer_id,segment
a1b2c3d4-0001-4000-8000-000000000001,2026-04-01T10:00:00Z,2026-04-01,10,Absolutely love the product! Best tool I've used.,cust_001,enterprise
a1b2c3d4-0002-4000-8000-000000000002,2026-04-02T11:30:00Z,2026-04-02,9,Great product but the pricing is too high for what you get.,cust_002,smb
a1b2c3d4-0003-4000-8000-000000000003,2026-04-03T09:15:00Z,2026-04-03,7,It's okay. Nothing special.,cust_003,free
a1b2c3d4-0004-4000-8000-000000000004,2026-04-04T14:00:00Z,2026-04-04,3,Terrible experience. The app crashed multiple times and support was unresponsive.,cust_004,enterprise
a1b2c3d4-0005-4000-8000-000000000005,2026-04-05T16:45:00Z,2026-04-05,8,,cust_005,smb
a1b2c3d4-0006-4000-8000-000000000006,2026-04-06T08:20:00Z,2026-04-06,1,Worst product ever.,cust_006,free
a1b2c3d4-0007-4000-8000-000000000007,2026-04-07T12:00:00Z,2026-04-07,10,Love it!,cust_007,enterprise
a1b2c3d4-0008-4000-8000-000000000008,2026-04-08T13:30:00Z,2026-04-08,6,The onboarding was confusing. Took me 2 hours to set up.,cust_008,smb
a1b2c3d4-0009-4000-8000-000000000009,2026-04-09T15:00:00Z,2026-04-09,5,UI is ugly and hard to navigate.,cust_009,free
a1b2c3d4-0010-4000-8000-000000000010,2026-04-10T10:10:00Z,2026-04-10,9,I like the features but performance is terrible. Pages take 10 seconds to load.,cust_010,enterprise
